,tradedate,tradetime,secid,rate,clearing,date
153,2022-01-13,18:44:00,CHF/RUB,83.9054,vk,2022-01-13
154,2022-01-13,18:44:00,CNY/RUB,12.012,vk,2022-01-13
155,2022-01-13,18:44:00,EUR/RUB,87.4878,vk,2022-01-13
156,2022-01-13,18:44:00,GBP/RUB,104.9117,vk,2022-01-13
157,2022-01-13,18:44:00,HKD/RUB,9.8071,vk,2022-01-13
159,2022-01-13,18:44:00,JPY/RUB,0.66947,vk,2022-01-13
160,2022-01-13,18:44:00,TRY/RUB,5.6472,vk,2022-01-13
168,2022-01-13,18:44:00,USD/RUB,76.395,vk,2022-01-13
171,2022-01-14,18:44:00,CAD/RUB,60.8506,vk,2022-01-14
172,2022-01-14,18:44:00,CHF/RUB,83.6182,vk,2022-01-14
173,2022-01-14,18:44:00,CNY/RUB,12.0076,vk,2022-01-14
174,2022-01-14,18:44:00,EUR/RUB,87.1249,vk,2022-01-14
175,2022-01-14,18:44:00,GBP/RUB,104.3505,vk,2022-01-14
176,2022-01-14,18:44:00,HKD/RUB,9.7963,vk,2022-01-14
178,2022-01-14,18:44:00,JPY/RUB,0.67013,vk,2022-01-14
179,2022-01-14,18:44:00,TRY/RUB,5.6176,vk,2022-01-14
187,2022-01-14,18:44:00,USD/RUB,76.264,vk,2022-01-14
190,2022-01-17,18:44:00,CAD/RUB,60.8238,vk,2022-01-17
191,2022-01-17,18:44:00,CHF/RUB,83.1871,vk,2022-01-17
192,2022-01-17,18:44:00,CNY/RUB,11.9814,vk,2022-01-17
193,2022-01-17,18:44:00,EUR/RUB,86.6475,vk,2022-01-17
194,2022-01-17,18:44:00,GBP/RUB,103.8328,vk,2022-01-17
195,2022-01-17,18:44:00,HKD/RUB,9.7636,vk,2022-01-17
197,2022-01-17,18:44:00,JPY/RUB,0.66384,vk,2022-01-17
198,2022-01-17,18:44:00,TRY/RUB,5.6608,vk,2022-01-17
206,2022-01-17,18:44:00,USD/RUB,76.0663,vk,2022-01-17
209,2022-01-18,18:44:00,CAD/RUB,61.282,vk,2022-01-18
210,2022-01-18,18:44:00,CHF/RUB,83.6779,vk,2022-01-18
211,2022-01-18,18:44:00,CNY/RUB,12.0712,vk,2022-01-18
212,2022-01-18,18:44:00,EUR/RUB,87.0468,vk,2022-01-18
213,2022-01-18,18:44:00,GBP/RUB,104.1803,vk,2022-01-18
214,2022-01-18,18:44:00,HKD/RUB,9.8428,vk,2022-01-18
216,2022-01-18,18:44:00,JPY/RUB,0.6693,vk,2022-01-18
217,2022-01-18,18:44:00,TRY/RUB,5.6782,vk,2022-01-18
225,2022-01-18,18:44:00,USD/RUB,76.6883,vk,2022-01-18
228,2022-01-19,18:44:00,CAD/RUB,61.2104,vk,2022-01-19
229,2022-01-19,18:44:00,CHF/RUB,83.5098,vk,2022-01-19
230,2022-01-19,18:44:00,CNY/RUB,12.0655,vk,2022-01-19
231,2022-01-19,18:44:00,EUR/RUB,86.7997,vk,2022-01-19
232,2022-01-19,18:44:00,GBP/RUB,104.3748,vk,2022-01-19
233,2022-01-19,18:44:00,HKD/RUB,9.8254,vk,2022-01-19
235,2022-01-19,18:44:00,JPY/RUB,0.66932,vk,2022-01-19
236,2022-01-19,18:44:00,TRY/RUB,5.6367,vk,2022-01-19
244,2022-01-19,18:44:00,USD/RUB,76.5559,vk,2022-01-19
