,tradedate,tradetime,secid,rate,clearing,date
2434,2023-02-13,18:49:00,GBP/RUB,88.9017,vk,2023-02-13
2435,2023-02-13,18:49:00,HKD/RUB,9.3965,vk,2023-02-13
2436,2023-02-13,18:49:00,JPY/RUB,0.55908,vk,2023-02-13
2437,2023-02-13,18:49:00,TRY/RUB,3.9107,vk,2023-02-13
2438,2023-02-13,18:49:00,USD/RUB,73.8505,vk,2023-02-13
2439,2023-02-14,18:49:00,CAD/RUB,55.3582,vk,2023-02-14
2440,2023-02-14,18:49:00,CHF/RUB,80.6205,vk,2023-02-14
2441,2023-02-14,18:49:00,CNY/RUB,10.801,vk,2023-02-14
2442,2023-02-14,18:49:00,EUR/RUB,79.2973,vk,2023-02-14
2443,2023-02-14,18:49:00,GBP/RUB,89.6493,vk,2023-02-14
2444,2023-02-14,18:49:00,HKD/RUB,9.4263,vk,2023-02-14
2445,2023-02-14,18:49:00,JPY/RUB,0.5584,vk,2023-02-14
2446,2023-02-14,18:49:00,TRY/RUB,3.9216,vk,2023-02-14
2447,2023-02-14,18:49:00,USD/RUB,73.7966,vk,2023-02-14
2448,2023-02-15,18:49:00,CAD/RUB,55.6071,vk,2023-02-15
2449,2023-02-15,18:49:00,CHF/RUB,80.442,vk,2023-02-15
2450,2023-02-15,18:49:00,CNY/RUB,10.8743,vk,2023-02-15
2451,2023-02-15,18:49:00,EUR/RUB,79.6457,vk,2023-02-15
2452,2023-02-15,18:49:00,GBP/RUB,90.2069,vk,2023-02-15
2453,2023-02-15,18:49:00,HKD/RUB,9.4713,vk,2023-02-15
2454,2023-02-15,18:49:00,JPY/RUB,0.55909,vk,2023-02-15
2455,2023-02-15,18:49:00,TRY/RUB,3.9389,vk,2023-02-15
2456,2023-02-15,18:49:00,USD/RUB,74.589,vk,2023-02-15
2457,2023-02-16,18:49:00,CAD/RUB,55.7481,vk,2023-02-16
2458,2023-02-16,18:49:00,CHF/RUB,81.0184,vk,2023-02-16
2459,2023-02-16,18:49:00,CNY/RUB,10.8819,vk,2023-02-16
2460,2023-02-16,18:49:00,EUR/RUB,79.9453,vk,2023-02-16
2461,2023-02-16,18:49:00,GBP/RUB,89.739,vk,2023-02-16
2462,2023-02-16,18:49:00,HKD/RUB,9.5423,vk,2023-02-16
2463,2023-02-16,18:49:00,JPY/RUB,0.55773,vk,2023-02-16
2464,2023-02-16,18:49:00,TRY/RUB,3.9673,vk,2023-02-16
2465,2023-02-16,18:49:00,USD/RUB,74.8163,vk,2023-02-16
2466,2023-02-17,18:49:00,CAD/RUB,55.6282,vk,2023-02-17
2467,2023-02-17,18:49:00,CHF/RUB,80.1961,vk,2023-02-17
2468,2023-02-17,18:49:00,CNY/RUB,10.7571,vk,2023-02-17
2469,2023-02-17,18:49:00,EUR/RUB,79.2635,vk,2023-02-17
2470,2023-02-17,18:49:00,GBP/RUB,89.7928,vk,2023-02-17
2471,2023-02-17,18:49:00,HKD/RUB,9.5465,vk,2023-02-17
2472,2023-02-17,18:49:00,JPY/RUB,0.55666,vk,2023-02-17
2473,2023-02-17,18:49:00,TRY/RUB,3.9662,vk,2023-02-17
2474,2023-02-17,18:49:00,USD/RUB,74.245,vk,2023-02-17
2475,2023-02-20,18:49:00,CAD/RUB,54.8997,vk,2023-02-20
2476,2023-02-20,18:49:00,CHF/RUB,80.1507,vk,2023-02-20
2477,2023-02-20,18:49:00,CNY/RUB,10.8805,vk,2023-02-20
2478,2023-02-20,18:49:00,EUR/RUB,79.6844,vk,2023-02-20
2479,2023-02-20,18:49:00,GBP/RUB,88.837,vk,2023-02-20
2480,2023-02-20,18:49:00,HKD/RUB,9.4709,vk,2023-02-20
2481,2023-02-20,18:49:00,JPY/RUB,0.55084,vk,2023-02-20
2482,2023-02-20,18:49:00,TRY/RUB,3.9274,vk,2023-02-20
2483,2023-02-20,18:49:00,USD/RUB,74.6392,vk,2023-02-20
2484,2023-02-21,18:49:00,CAD/RUB,55.505,vk,2023-02-21
2485,2023-02-21,18:49:00,CHF/RUB,80.9994,vk,2023-02-21
2486,2023-02-21,18:49:00,CNY/RUB,10.8473,vk,2023-02-21
2487,2023-02-21,18:49:00,EUR/RUB,80.14,vk,2023-02-21
2488,2023-02-21,18:49:00,GBP/RUB,90.0411,vk,2023-02-21
2489,2023-02-21,18:49:00,HKD/RUB,9.5606,vk,2023-02-21
2490,2023-02-21,18:49:00,JPY/RUB,0.55761,vk,2023-02-21
2491,2023-02-21,18:49:00,TRY/RUB,3.9691,vk,2023-02-21
2492,2023-02-21,18:49:00,USD/RUB,75.0404,vk,2023-02-21
2493,2023-02-22,18:49:00,CAD/RUB,55.2743,vk,2023-02-22
2494,2023-02-22,18:49:00,CHF/RUB,80.5485,vk,2023-02-22
2495,2023-02-22,18:49:00,CNY/RUB,10.908,vk,2023-02-22
2496,2023-02-22,18:49:00,EUR/RUB,79.8265,vk,2023-02-22
2497,2023-02-22,18:49:00,GBP/RUB,90.6889,vk,2023-02-22
2498,2023-02-22,18:49:00,HKD/RUB,9.5389,vk,2023-02-22
2499,2023-02-22,18:49:00,JPY/RUB,0.55422,vk,2023-02-22
2500,2023-02-22,18:49:00,TRY/RUB,3.9605,vk,2023-02-22
2501,2023-02-22,18:49:00,USD/RUB,75.0008,vk,2023-02-22
2502,2023-02-24,18:49:00,CAD/RUB,55.2743,vk,2023-02-24
2503,2023-02-24,18:49:00,CHF/RUB,80.5485,vk,2023-02-24
2504,2023-02-24,18:49:00,CNY/RUB,10.9629,vk,2023-02-24
2505,2023-02-24,18:49:00,EUR/RUB,80.36,vk,2023-02-24
2506,2023-02-24,18:49:00,GBP/RUB,90.6889,vk,2023-02-24
2507,2023-02-24,18:49:00,HKD/RUB,9.5389,vk,2023-02-24
2508,2023-02-24,18:49:00,JPY/RUB,0.55422,vk,2023-02-24
2509,2023-02-24,18:49:00,TRY/RUB,3.9605,vk,2023-02-24
2510,2023-02-24,18:49:00,USD/RUB,76.0735,vk,2023-02-24
2511,2023-02-27,18:49:00,CAD/RUB,55.3753,vk,2023-02-27
2512,2023-02-27,18:49:00,CHF/RUB,80.1533,vk,2023-02-27
2513,2023-02-27,18:49:00,CNY/RUB,10.7116,vk,2023-02-27
2514,2023-02-27,18:49:00,EUR/RUB,79.1564,vk,2023-02-27
2515,2023-02-27,18:49:00,GBP/RUB,90.0737,vk,2023-02-27
2516,2023-02-27,18:49:00,HKD/RUB,9.6301,vk,2023-02-27
2517,2023-02-27,18:49:00,JPY/RUB,0.55404,vk,2023-02-27
2518,2023-02-27,18:49:00,TRY/RUB,3.9967,vk,2023-02-27
2519,2023-02-27,18:49:00,USD/RUB,74.6664,vk,2023-02-27
2520,2023-02-28,18:49:00,CAD/RUB,55.1781,vk,2023-02-28
2521,2023-02-28,18:49:00,CHF/RUB,79.852,vk,2023-02-28
2522,2023-02-28,18:49:00,CNY/RUB,10.7843,vk,2023-02-28
2523,2023-02-28,18:49:00,EUR/RUB,79.4357,vk,2023-02-28
2524,2023-02-28,18:49:00,GBP/RUB,90.104,vk,2023-02-28
2525,2023-02-28,18:49:00,HKD/RUB,9.5588,vk,2023-02-28
2526,2023-02-28,18:49:00,JPY/RUB,0.54951,vk,2023-02-28
2527,2023-02-28,18:49:00,TRY/RUB,3.9668,vk,2023-02-28
2528,2023-02-28,18:49:00,USD/RUB,75.0163,vk,2023-02-28
2529,2023-03-01,18:49:00,CAD/RUB,55.2952,vk,2023-03-01
2530,2023-03-01,18:49:00,CHF/RUB,80.2681,vk,2023-03-01
2531,2023-03-01,18:49:00,CNY/RUB,10.8938,vk,2023-03-01
2532,2023-03-01,18:49:00,EUR/RUB,80.1667,vk,2023-03-01
2533,2023-03-01,18:49:00,GBP/RUB,91.1067,vk,2023-03-01
2534,2023-03-01,18:49:00,HKD/RUB,9.6033,vk,2023-03-01
2535,2023-03-01,18:49:00,JPY/RUB,0.55186,vk,2023-03-01
2536,2023-03-01,18:49:00,TRY/RUB,3.9854,vk,2023-03-01
2537,2023-03-01,18:49:00,USD/RUB,75.1337,vk,2023-03-01
2538,2023-03-02,18:49:00,CAD/RUB,55.4459,vk,2023-03-02
2539,2023-03-02,18:49:00,CHF/RUB,80.1284,vk,2023-03-02
2540,2023-03-02,18:49:00,CNY/RUB,10.8711,vk,2023-03-02
2541,2023-03-02,18:49:00,EUR/RUB,79.725,vk,2023-03-02
2542,2023-03-02,18:49:00,GBP/RUB,90.6203,vk,2023-03-02
2543,2023-03-02,18:49:00,HKD/RUB,9.6316,vk,2023-03-02
2544,2023-03-02,18:49:00,JPY/RUB,0.55292,vk,2023-03-02
2545,2023-03-02,18:49:00,TRY/RUB,3.997,vk,2023-03-02
2546,2023-03-02,18:49:00,USD/RUB,75.363,vk,2023-03-02
2547,2023-03-03,18:49:00,CAD/RUB,55.4276,vk,2023-03-03
2548,2023-03-03,18:49:00,CHF/RUB,80.4555,vk,2023-03-03
2549,2023-03-03,18:49:00,CNY/RUB,10.9213,vk,2023-03-03
2550,2023-03-03,18:49:00,EUR/RUB,80.255,vk,2023-03-03
2551,2023-03-03,18:49:00,GBP/RUB,90.2039,vk,2023-03-03
2552,2023-03-03,18:49:00,HKD/RUB,9.6298,vk,2023-03-03
2553,2023-03-03,18:49:00,JPY/RUB,0.55241,vk,2023-03-03
2554,2023-03-03,18:49:00,TRY/RUB,3.9959,vk,2023-03-03
2555,2023-03-03,18:49:00,USD/RUB,75.6801,vk,2023-03-03
2556,2023-03-06,18:49:00,CAD/RUB,55.4539,vk,2023-03-06
2557,2023-03-06,18:49:00,CHF/RUB,80.7887,vk,2023-03-06
2558,2023-03-06,18:49:00,CNY/RUB,10.86,vk,2023-03-06
2559,2023-03-06,18:49:00,EUR/RUB,80.4489,vk,2023-03-06
2560,2023-03-06,18:49:00,GBP/RUB,90.3938,vk,2023-03-06
2561,2023-03-06,18:49:00,HKD/RUB,9.6316,vk,2023-03-06
2562,2023-03-06,18:49:00,JPY/RUB,0.55552,vk,2023-03-06
2563,2023-03-06,18:49:00,TRY/RUB,3.9984,vk,2023-03-06
2564,2023-03-06,18:49:00,USD/RUB,75.4112,vk,2023-03-06
2565,2023-03-07,18:49:00,CAD/RUB,55.4225,vk,2023-03-07
2566,2023-03-07,18:49:00,CHF/RUB,80.9111,vk,2023-03-07
2567,2023-03-07,18:49:00,CNY/RUB,10.873,vk,2023-03-07
2568,2023-03-07,18:49:00,EUR/RUB,80.5875,vk,2023-03-07
2569,2023-03-07,18:49:00,GBP/RUB,90.5643,vk,2023-03-07
2570,2023-03-07,18:49:00,HKD/RUB,9.6296,vk,2023-03-07
2571,2023-03-07,18:49:00,JPY/RUB,0.55447,vk,2023-03-07
2572,2023-03-07,18:49:00,TRY/RUB,3.9931,vk,2023-03-07
2573,2023-03-07,18:49:00,USD/RUB,76.0123,vk,2023-03-07
2574,2023-03-09,18:49:00,CAD/RUB,55.0619,vk,2023-03-09
2575,2023-03-09,18:49:00,CHF/RUB,80.963,vk,2023-03-09
2576,2023-03-09,18:49:00,CNY/RUB,10.8634,vk,2023-03-09
2577,2023-03-09,18:49:00,EUR/RUB,80.2618,vk,2023-03-09
2578,2023-03-09,18:49:00,GBP/RUB,89.8461,vk,2023-03-09
2579,2023-03-09,18:49:00,HKD/RUB,9.6864,vk,2023-03-09
2580,2023-03-09,18:49:00,JPY/RUB,0.55395,vk,2023-03-09
2581,2023-03-09,18:49:00,TRY/RUB,4.0095,vk,2023-03-09
2582,2023-03-09,18:49:00,USD/RUB,75.8855,vk,2023-03-09
2583,2023-03-10,18:49:00,CAD/RUB,55.0693,vk,2023-03-10
2584,2023-03-10,18:49:00,CHF/RUB,81.6478,vk,2023-03-10
2585,2023-03-10,18:49:00,CNY/RUB,10.9645,vk,2023-03-10
2586,2023-03-10,18:49:00,EUR/RUB,81.1651,vk,2023-03-10
2587,2023-03-10,18:49:00,GBP/RUB,90.3086,vk,2023-03-10
2588,2023-03-10,18:49:00,HKD/RUB,9.6925,vk,2023-03-10
2589,2023-03-10,18:49:00,JPY/RUB,0.55876,vk,2023-03-10
2590,2023-03-10,18:49:00,TRY/RUB,4.0082,vk,2023-03-10
2591,2023-03-10,18:49:00,USD/RUB,76.0657,vk,2023-03-10
2592,2023-03-13,18:49:00,CAD/RUB,54.6541,vk,2023-03-13
2593,2023-03-13,18:49:00,CHF/RUB,82.6969,vk,2023-03-13
2594,2023-03-13,18:49:00,CNY/RUB,10.9235,vk,2023-03-13
2595,2023-03-13,18:49:00,EUR/RUB,80.3692,vk,2023-03-13
2596,2023-03-13,18:49:00,GBP/RUB,91.3228,vk,2023-03-13
2597,2023-03-13,18:49:00,HKD/RUB,9.6386,vk,2023-03-13
2598,2023-03-13,18:49:00,JPY/RUB,0.56176,vk,2023-03-13
2599,2023-03-13,18:49:00,TRY/RUB,3.9812,vk,2023-03-13
2600,2023-03-13,18:49:00,USD/RUB,74.9333,vk,2023-03-13
2601,2023-03-14,18:49:00,CAD/RUB,54.7653,vk,2023-03-14
2602,2023-03-14,18:49:00,CHF/RUB,82.4843,vk,2023-03-14
2603,2023-03-14,18:49:00,CNY/RUB,10.939,vk,2023-03-14
2604,2023-03-14,18:49:00,EUR/RUB,80.7,vk,2023-03-14
2605,2023-03-14,18:49:00,GBP/RUB,91.4268,vk,2023-03-14
2606,2023-03-14,18:49:00,HKD/RUB,9.5995,vk,2023-03-14
2607,2023-03-14,18:49:00,JPY/RUB,0.56515,vk,2023-03-14
2608,2023-03-14,18:49:00,TRY/RUB,3.9645,vk,2023-03-14
2609,2023-03-14,18:49:00,USD/RUB,75.3283,vk,2023-03-14
2610,2023-03-15,18:49:00,CAD/RUB,55.3818,vk,2023-03-15
2611,2023-03-15,18:49:00,CHF/RUB,82.4667,vk,2023-03-15
2612,2023-03-15,18:49:00,CNY/RUB,10.9961,vk,2023-03-15
2613,2023-03-15,18:49:00,EUR/RUB,80.2986,vk,2023-03-15
2614,2023-03-15,18:49:00,GBP/RUB,92.0007,vk,2023-03-15
2615,2023-03-15,18:49:00,HKD/RUB,9.6688,vk,2023-03-15
2616,2023-03-15,18:49:00,JPY/RUB,0.56287,vk,2023-03-15
2617,2023-03-15,18:49:00,TRY/RUB,3.9932,vk,2023-03-15
2618,2023-03-15,18:49:00,USD/RUB,76.0661,vk,2023-03-15
2619,2023-03-16,18:49:00,CAD/RUB,55.4576,vk,2023-03-16
2620,2023-03-16,18:49:00,CHF/RUB,82.4266,vk,2023-03-16
2621,2023-03-16,18:49:00,CNY/RUB,11.0975,vk,2023-03-16
2622,2023-03-16,18:49:00,EUR/RUB,81.2158,vk,2023-03-16
2623,2023-03-16,18:49:00,GBP/RUB,91.9053,vk,2023-03-16
2624,2023-03-16,18:49:00,HKD/RUB,9.7523,vk,2023-03-16
2625,2023-03-16,18:49:00,JPY/RUB,0.57646,vk,2023-03-16
2626,2023-03-16,18:49:00,TRY/RUB,4.0268,vk,2023-03-16
2627,2023-03-16,18:49:00,USD/RUB,76.7185,vk,2023-03-16
2628,2023-03-17,18:49:00,CAD/RUB,55.7366,vk,2023-03-17
2629,2023-03-17,18:49:00,CHF/RUB,82.7351,vk,2023-03-17
2630,2023-03-17,18:49:00,CNY/RUB,11.1845,vk,2023-03-17
2631,2023-03-17,18:49:00,EUR/RUB,81.9942,vk,2023-03-17
2632,2023-03-17,18:49:00,GBP/RUB,92.7603,vk,2023-03-17
2633,2023-03-17,18:49:00,HKD/RUB,9.776,vk,2023-03-17
2634,2023-03-17,18:49:00,JPY/RUB,0.5739,vk,2023-03-17
2635,2023-03-17,18:49:00,TRY/RUB,4.0334,vk,2023-03-17
2636,2023-03-17,18:49:00,USD/RUB,77.1193,vk,2023-03-17
2637,2023-03-20,18:49:00,CAD/RUB,56.2416,vk,2023-03-20
2638,2023-03-20,18:49:00,CHF/RUB,83.1187,vk,2023-03-20
2639,2023-03-20,18:49:00,CNY/RUB,11.1857,vk,2023-03-20
2640,2023-03-20,18:49:00,EUR/RUB,82.551,vk,2023-03-20
2641,2023-03-20,18:49:00,GBP/RUB,93.772,vk,2023-03-20
2642,2023-03-20,18:49:00,HKD/RUB,9.8674,vk,2023-03-20
2643,2023-03-20,18:49:00,JPY/RUB,0.58252,vk,2023-03-20
2644,2023-03-20,18:49:00,TRY/RUB,4.0663,vk,2023-03-20
2645,2023-03-20,18:49:00,USD/RUB,77.0652,vk,2023-03-20
2646,2023-03-21,18:49:00,CAD/RUB,56.1923,vk,2023-03-21
2647,2023-03-21,18:49:00,CHF/RUB,82.915,vk,2023-03-21
2648,2023-03-21,18:49:00,CNY/RUB,11.1631,vk,2023-03-21
2649,2023-03-21,18:49:00,EUR/RUB,82.6625,vk,2023-03-21
2650,2023-03-21,18:49:00,GBP/RUB,94.1641,vk,2023-03-21
2651,2023-03-21,18:49:00,HKD/RUB,9.8107,vk,2023-03-21
2652,2023-03-21,18:49:00,JPY/RUB,0.57947,vk,2023-03-21
2653,2023-03-21,18:49:00,TRY/RUB,4.0422,vk,2023-03-21
2654,2023-03-21,18:49:00,USD/RUB,76.7881,vk,2023-03-21
2655,2023-03-22,18:49:00,CAD/RUB,56.1477,vk,2023-03-22
2656,2023-03-22,18:49:00,CHF/RUB,83.4846,vk,2023-03-22
2657,2023-03-22,18:49:00,CNY/RUB,11.1836,vk,2023-03-22
2658,2023-03-22,18:49:00,EUR/RUB,83.0655,vk,2023-03-22
2659,2023-03-22,18:49:00,GBP/RUB,93.8557,vk,2023-03-22
2660,2023-03-22,18:49:00,HKD/RUB,9.8234,vk,2023-03-22
2661,2023-03-22,18:49:00,JPY/RUB,0.58106,vk,2023-03-22
2662,2023-03-22,18:49:00,TRY/RUB,4.0464,vk,2023-03-22
2663,2023-03-22,18:49:00,USD/RUB,76.9196,vk,2023-03-22
2664,2023-03-23,18:49:00,CAD/RUB,55.6499,vk,2023-03-23
2665,2023-03-23,18:49:00,CHF/RUB,83.3594,vk,2023-03-23
2666,2023-03-23,18:49:00,CNY/RUB,11.1178,vk,2023-03-23
2667,2023-03-23,18:49:00,EUR/RUB,82.6957,vk,2023-03-23
2668,2023-03-23,18:49:00,GBP/RUB,93.339,vk,2023-03-23
2669,2023-03-23,18:49:00,HKD/RUB,9.7374,vk,2023-03-23
2670,2023-03-23,18:49:00,JPY/RUB,0.58317,vk,2023-03-23
2671,2023-03-23,18:49:00,TRY/RUB,4.0091,vk,2023-03-23
2672,2023-03-23,18:49:00,USD/RUB,76.0485,vk,2023-03-23
2673,2023-03-24,18:49:00,CAD/RUB,55.9198,vk,2023-03-24
2674,2023-03-24,18:49:00,CHF/RUB,83.2222,vk,2023-03-24
2675,2023-03-24,18:49:00,CNY/RUB,11.1365,vk,2023-03-24
2676,2023-03-24,18:49:00,EUR/RUB,82.88,vk,2023-03-24
2677,2023-03-24,18:49:00,GBP/RUB,94.1532,vk,2023-03-24
2678,2023-03-24,18:49:00,HKD/RUB,9.7554,vk,2023-03-24
2679,2023-03-24,18:49:00,JPY/RUB,0.58536,vk,2023-03-24
2680,2023-03-24,18:49:00,TRY/RUB,4.0152,vk,2023-03-24
2681,2023-03-24,18:49:00,USD/RUB,77.0638,vk,2023-03-24
2682,2023-03-27,18:49:00,CAD/RUB,55.6319,vk,2023-03-27
2683,2023-03-27,18:49:00,CHF/RUB,83.5693,vk,2023-03-27
2684,2023-03-27,18:49:00,CNY/RUB,11.1166,vk,2023-03-27
2685,2023-03-27,18:49:00,EUR/RUB,82.6247,vk,2023-03-27
2686,2023-03-27,18:49:00,GBP/RUB,93.5945,vk,2023-03-27
2687,2023-03-27,18:49:00,HKD/RUB,9.7705,vk,2023-03-27
2688,2023-03-27,18:49:00,JPY/RUB,0.58604,vk,2023-03-27
2689,2023-03-27,18:49:00,TRY/RUB,4.0183,vk,2023-03-27
2690,2023-03-27,18:49:00,USD/RUB,76.7243,vk,2023-03-27
2691,2023-03-28,18:49:00,CAD/RUB,55.9815,vk,2023-03-28
2692,2023-03-28,18:49:00,CHF/RUB,83.4993,vk,2023-03-28
2693,2023-03-28,18:49:00,CNY/RUB,11.1709,vk,2023-03-28
2694,2023-03-28,18:49:00,EUR/RUB,83.3263,vk,2023-03-28
2695,2023-03-28,18:49:00,GBP/RUB,94.0114,vk,2023-03-28
2696,2023-03-28,18:49:00,HKD/RUB,9.774,vk,2023-03-28
2697,2023-03-28,18:49:00,JPY/RUB,0.58625,vk,2023-03-28
2698,2023-03-28,18:49:00,TRY/RUB,4.0133,vk,2023-03-28
2699,2023-03-28,18:49:00,USD/RUB,76.9482,vk,2023-03-28
2700,2023-03-29,18:49:00,CAD/RUB,56.4935,vk,2023-03-29
2701,2023-03-29,18:49:00,CHF/RUB,83.6809,vk,2023-03-29
2702,2023-03-29,18:49:00,CNY/RUB,11.188,vk,2023-03-29
2703,2023-03-29,18:49:00,EUR/RUB,83.7243,vk,2023-03-29
2704,2023-03-29,18:49:00,GBP/RUB,94.8909,vk,2023-03-29
2705,2023-03-29,18:49:00,HKD/RUB,9.823,vk,2023-03-29
2706,2023-03-29,18:49:00,JPY/RUB,0.58641,vk,2023-03-29
2707,2023-03-29,18:49:00,TRY/RUB,4.03,vk,2023-03-29
2708,2023-03-29,18:49:00,USD/RUB,77.1537,vk,2023-03-29
2709,2023-03-30,18:49:00,CAD/RUB,56.7813,vk,2023-03-30
2710,2023-03-30,18:49:00,CHF/RUB,84.1278,vk,2023-03-30
2711,2023-03-30,18:49:00,CNY/RUB,11.1956,vk,2023-03-30
2712,2023-03-30,18:49:00,EUR/RUB,84.246,vk,2023-03-30
2713,2023-03-30,18:49:00,GBP/RUB,94.9009,vk,2023-03-30
2714,2023-03-30,18:49:00,HKD/RUB,9.8368,vk,2023-03-30
2715,2023-03-30,18:49:00,JPY/RUB,0.5817,vk,2023-03-30
2716,2023-03-30,18:49:00,TRY/RUB,4.0308,vk,2023-03-30
2717,2023-03-30,18:49:00,USD/RUB,77.169,vk,2023-03-30
2718,2023-03-31,18:49:00,CAD/RUB,57.1369,vk,2023-03-31
2719,2023-03-31,18:49:00,CHF/RUB,84.3864,vk,2023-03-31
2720,2023-03-31,18:49:00,CNY/RUB,11.2803,vk,2023-03-31
2721,2023-03-31,18:49:00,EUR/RUB,84.179,vk,2023-03-31
2722,2023-03-31,18:49:00,GBP/RUB,95.7262,vk,2023-03-31
2723,2023-03-31,18:49:00,HKD/RUB,9.8671,vk,2023-03-31
2724,2023-03-31,18:49:00,JPY/RUB,0.57929,vk,2023-03-31
2725,2023-03-31,18:49:00,TRY/RUB,4.035,vk,2023-03-31
2726,2023-03-31,18:49:00,USD/RUB,77.4595,vk,2023-03-31
2727,2023-04-03,18:49:00,CAD/RUB,57.1369,vk,2023-04-03
2728,2023-04-03,18:49:00,CHF/RUB,84.3864,vk,2023-04-03
2729,2023-04-03,18:49:00,CNY/RUB,11.437,vk,2023-04-03
2730,2023-04-03,18:49:00,EUR/RUB,85.8551,vk,2023-04-03
2731,2023-04-03,18:49:00,GBP/RUB,95.7262,vk,2023-04-03
2732,2023-04-03,18:49:00,HKD/RUB,9.8671,vk,2023-04-03
2733,2023-04-03,18:49:00,JPY/RUB,0.57929,vk,2023-04-03
2734,2023-04-03,18:49:00,TRY/RUB,4.035,vk,2023-04-03
2735,2023-04-03,18:49:00,USD/RUB,78.7789,vk,2023-04-03
2736,2023-04-04,18:49:00,CAD/RUB,59.0537,vk,2023-04-04
2737,2023-04-04,18:49:00,CHF/RUB,87.023,vk,2023-04-04
2738,2023-04-04,18:49:00,CNY/RUB,11.5137,vk,2023-04-04
2739,2023-04-04,18:49:00,EUR/RUB,87.0333,vk,2023-04-04
2740,2023-04-04,18:49:00,GBP/RUB,98.378,vk,2023-04-04
2741,2023-04-04,18:49:00,HKD/RUB,10.1246,vk,2023-04-04
2742,2023-04-04,18:49:00,JPY/RUB,0.5986,vk,2023-04-04
2743,2023-04-04,18:49:00,TRY/RUB,4.134,vk,2023-04-04
2744,2023-04-04,18:49:00,USD/RUB,79.4563,vk,2023-04-04
2745,2023-04-05,18:49:00,CAD/RUB,59.1181,vk,2023-04-05
2746,2023-04-05,18:49:00,CHF/RUB,87.8604,vk,2023-04-05
2747,2023-04-05,18:49:00,CNY/RUB,11.5741,vk,2023-04-05
2748,2023-04-05,18:49:00,EUR/RUB,87.337,vk,2023-04-05
2749,2023-04-05,18:49:00,GBP/RUB,99.4973,vk,2023-04-05
2750,2023-04-05,18:49:00,HKD/RUB,10.1424,vk,2023-04-05
2751,2023-04-05,18:49:00,JPY/RUB,0.60444,vk,2023-04-05
2752,2023-04-05,18:49:00,TRY/RUB,4.1367,vk,2023-04-05
2753,2023-04-05,18:49:00,USD/RUB,79.7763,vk,2023-04-05
2754,2023-04-06,18:49:00,CAD/RUB,59.9475,vk,2023-04-06
2755,2023-04-06,18:49:00,CHF/RUB,89.1987,vk,2023-04-06
2756,2023-04-06,18:49:00,CNY/RUB,11.798,vk,2023-04-06
2757,2023-04-06,18:49:00,EUR/RUB,89.0917,vk,2023-04-06
2758,2023-04-06,18:49:00,GBP/RUB,100.4358,vk,2023-04-06
2759,2023-04-06,18:49:00,HKD/RUB,10.2917,vk,2023-04-06
2760,2023-04-06,18:49:00,JPY/RUB,0.61534,vk,2023-04-06
2761,2023-04-06,18:49:00,TRY/RUB,4.1921,vk,2023-04-06
2762,2023-04-06,18:49:00,USD/RUB,81.3509,vk,2023-04-06
2763,2023-04-07,18:49:00,CAD/RUB,61.1358,vk,2023-04-07
2764,2023-04-07,18:49:00,CHF/RUB,91.1088,vk,2023-04-07
2765,2023-04-07,18:49:00,CNY/RUB,11.8162,vk,2023-04-07
2766,2023-04-07,18:49:00,EUR/RUB,88.9075,vk,2023-04-07
2767,2023-04-07,18:49:00,GBP/RUB,102.5865,vk,2023-04-07
2768,2023-04-07,18:49:00,HKD/RUB,10.5121,vk,2023-04-07
2769,2023-04-07,18:49:00,JPY/RUB,0.62551,vk,2023-04-07
2770,2023-04-07,18:49:00,TRY/RUB,4.2797,vk,2023-04-07
2771,2023-04-07,18:49:00,USD/RUB,81.115,vk,2023-04-07
2772,2023-04-10,18:49:00,CAD/RUB,60.65,vk,2023-04-10
2773,2023-04-10,18:49:00,CHF/RUB,90.3849,vk,2023-04-10
2774,2023-04-10,18:49:00,CNY/RUB,11.8313,vk,2023-04-10
2775,2023-04-10,18:49:00,EUR/RUB,88.8448,vk,2023-04-10
2776,2023-04-10,18:49:00,GBP/RUB,101.7714,vk,2023-04-10
2777,2023-04-10,18:49:00,HKD/RUB,10.4285,vk,2023-04-10
2778,2023-04-10,18:49:00,JPY/RUB,0.61647,vk,2023-04-10
2779,2023-04-10,18:49:00,TRY/RUB,4.2463,vk,2023-04-10
2780,2023-04-10,18:49:00,USD/RUB,81.5513,vk,2023-04-10
2781,2023-04-11,18:49:00,CAD/RUB,60.7525,vk,2023-04-11
2782,2023-04-11,18:49:00,CHF/RUB,90.8969,vk,2023-04-11
2783,2023-04-11,18:49:00,CNY/RUB,11.9091,vk,2023-04-11
2784,2023-04-11,18:49:00,EUR/RUB,89.5845,vk,2023-04-11
2785,2023-04-11,18:49:00,GBP/RUB,102.1825,vk,2023-04-11
2786,2023-04-11,18:49:00,HKD/RUB,10.4855,vk,2023-04-11
2787,2023-04-11,18:49:00,JPY/RUB,0.61595,vk,2023-04-11
2788,2023-04-11,18:49:00,TRY/RUB,4.2679,vk,2023-04-11
2789,2023-04-11,18:49:00,USD/RUB,82.0154,vk,2023-04-11
2790,2023-04-12,18:49:00,CAD/RUB,60.8866,vk,2023-04-12
2791,2023-04-12,18:49:00,CHF/RUB,90.9118,vk,2023-04-12
2792,2023-04-12,18:49:00,CNY/RUB,11.8934,vk,2023-04-12
2793,2023-04-12,18:49:00,EUR/RUB,89.9534,vk,2023-04-12
